month,All Items,cpi_reindexed_monthly,cpi_reindexed_2010-01
2010-01-01,73.64,100.0,100.0
2010-02-01,73.771,100.0,100.178
2010-03-01,74,100.0,100.489
2010-04-01,74.596,100.0,101.298
2010-05-01,75.025,100.0,101.881
2010-06-01,74.662,100.0,101.388
2010-07-01,75.261,100.0,102.201
2010-08-01,75.608,100.0,102.672
2010-09-01,75.678,100.0,102.768
2010-10-01,75.991,100.0,103.193
2010-11-01,76.243,100.0,103.535
2010-12-01,76.692,100.0,104.144
2011-01-01,77.517,105.265,105.265
2011-02-01,77.549,105.121,105.308
2011-03-01,77.623,104.896,105.409
2011-04-01,78.449,105.165,106.53
2011-05-01,78.348,104.429,106.393
2011-06-01,78.535,105.187,106.647
2011-07-01,79.317,105.389,107.709
2011-08-01,79.888,105.661,108.485
2011-09-01,79.754,105.386,108.303
2011-10-01,80.066,105.362,108.726
2011-11-01,80.512,105.599,109.332
2011-12-01,80.898,105.484,109.856
2012-01-01,81.34,110.456,110.456
2012-02-01,81.262,110.154,110.35
2012-03-01,81.821,110.569,111.109
2012-04-01,82.245,110.254,111.685
2012-05-01,82.418,109.854,111.92
2012-06-01,82.423,110.395,111.927
2012-07-01,82.614,109.77,112.186
2012-08-01,83.128,109.946,112.884
2012-09-01,83.604,110.473,113.531
2012-10-01,83.434,109.795,113.3
2012-11-01,83.54,109.571,113.444
2012-12-01,84.151,109.726,114.273
2013-01-01,84.256,114.416,114.416
2013-02-01,85.005,115.228,115.433
2013-03-01,84.595,114.318,114.876
2013-04-01,83.937,112.522,113.983
2013-05-01,83.639,111.482,113.578
2013-06-01,83.81,112.253,113.81
2013-07-01,84.428,112.18,114.65
2013-08-01,84.721,112.053,115.048
2013-09-01,84.845,112.113,115.216
2013-10-01,85.336,112.298,115.883
2013-11-01,85.579,112.245,116.213
2013-12-01,85.308,111.235,115.845
2014-01-01,85.326,115.869,115.869
2014-02-01,85.459,115.844,116.05
2014-03-01,85.609,115.688,116.253
2014-04-01,85.869,115.112,116.606
2014-05-01,85.547,114.025,116.169
2014-06-01,85.404,114.388,115.975
2014-07-01,85.539,113.656,116.158
2014-08-01,85.604,113.221,116.247
2014-09-01,85.447,112.909,116.033
2014-10-01,85.549,112.578,116.172
2014-11-01,85.351,111.946,115.903
2014-12-01,85.254,111.164,115.771
2015-01-01,85.189,115.683,115.683
2015-02-01,85.029,115.261,115.466
2015-03-01,85.354,115.343,115.907
2015-04-01,85.427,114.52,116.006
2015-05-01,85.208,113.573,115.709
2015-06-01,85.116,114.002,115.584
2015-07-01,85.2,113.206,115.698
2015-08-01,84.893,112.28,115.281
2015-09-01,84.894,112.178,115.282
2015-10-01,84.884,111.703,115.269
2015-11-01,84.699,111.091,115.018
2015-12-01,84.706,110.45,115.027
2016-01-01,84.541,114.803,114.803
2016-02-01,84.413,114.426,114.629
2016-03-01,84.469,114.147,114.705
2016-04-01,84.426,113.178,114.647
2016-05-01,84.49,112.616,114.734
2016-06-01,84.499,113.175,114.746
2016-07-01,84.663,112.493,114.969
2016-08-01,84.678,111.996,114.989
2016-09-01,84.686,111.903,115.0
2016-10-01,84.675,111.428,114.985
2016-11-01,84.714,111.111,115.038
2016-12-01,84.845,110.631,115.216
2017-01-01,84.902,115.293,115.293
2017-02-01,85.052,115.292,115.497
2017-03-01,85.012,114.881,115.443
2017-04-01,85.374,114.448,115.934
2017-05-01,85.04,113.349,115.481
2017-06-01,84.919,113.738,115.316
2017-07-01,85.124,113.105,115.595
2017-08-01,85.005,112.429,115.433
2017-09-01,84.986,112.299,115.407
2017-10-01,85.144,112.045,115.622
2017-11-01,85.234,111.793,115.744
2017-12-01,85.15,111.029,115.63
2018-01-01,85.431,116.012,116.012
2018-02-01,85.251,115.562,115.767
2018-03-01,85.197,115.131,115.694
2018-04-01,85.403,114.487,115.974
2018-05-01,85.326,113.73,115.869
2018-06-01,85.374,114.347,115.934
2018-07-01,85.639,113.789,116.294
2018-08-01,85.609,113.227,116.253
2018-09-01,85.589,113.096,116.226
2018-10-01,85.714,112.795,116.396
2018-11-01,85.466,112.097,116.059
2018-12-01,85.53,111.524,116.146
2019-01-01,85.597,116.237,116.237
2019-02-01,85.782,116.281,116.488
2019-03-01,85.776,115.914,116.48
2019-04-01,86.201,115.557,117.057
2019-05-01,86.08,114.735,116.893
2019-06-01,85.833,114.962,116.558
2019-07-01,85.837,114.052,116.563
2019-08-01,85.982,113.721,116.76
2019-09-01,85.928,113.544,116.687
2019-10-01,86.134,113.348,116.966
2019-11-01,86.019,112.822,116.81
2019-12-01,86.184,112.377,117.034
2020-01-01,86.249,117.122,117.122
2020-02-01,86.103,116.717,116.924
2020-03-01,85.731,115.853,116.419
2020-04-01,85.565,114.705,116.194
2020-05-01,85.346,113.757,115.896
2020-06-01,85.364,114.334,115.921
2020-07-01,85.494,113.597,116.097
2020-08-01,85.63,113.255,116.282
2020-09-01,85.916,113.528,116.67
2020-10-01,85.976,113.14,116.752
2020-11-01,85.906,112.674,116.657
2020-12-01,86.217,112.42,117.079
2021-01-01,86.616,117.621,117.621
2021-02-01,86.607,117.4,117.609
2021-03-01,86.877,117.401,117.975
2021-04-01,87.352,117.1,118.62
2021-05-01,87.431,116.536,118.728
2021-06-01,87.426,117.096,118.721
2021-07-01,87.653,116.465,119.029
2021-08-01,87.738,116.043,119.144
2021-09-01,88.104,116.42,119.641
2021-10-01,88.758,116.801,120.53
2021-11-01,89.223,117.025,121.161
2021-12-01,89.634,116.875,121.719
2022-01-01,89.943,122.139,122.139
2022-02-01,90.522,122.707,122.925
2022-03-01,91.565,123.736,124.341
2022-04-01,92.097,123.461,125.064
2022-05-01,92.351,123.094,125.409
2022-06-01,93.27,124.923,126.657
2022-07-01,93.836,124.681,127.425
2022-08-01,94.29,124.709,128.042
2022-09-01,94.699,125.134,128.597
2022-10-01,94.751,124.687,128.668
2022-11-01,95.24,124.916,129.332
2022-12-01,95.434,124.438,129.595
2023-01-01,95.914,130.247,130.247
2023-02-01,96.236,130.452,130.684
2023-03-01,96.634,130.586,131.225
2023-04-01,97.401,130.571,132.266
2023-05-01,97.022,129.32,131.752
2023-06-01,97.485,130.568,132.38
2023-07-01,97.701,129.816,132.674
2023-08-01,98.117,129.771,133.239
2023-09-01,98.614,130.307,133.914
2023-10-01,99.263,130.625,134.795
2023-11-01,98.646,129.384,133.957
2023-12-01,99.015,129.107,134.458
2024-01-01,99.459,135.061,135.061
2024-02-01,99.479,134.848,135.088
2024-03-01,99.494,134.451,135.109
2024-04-01,99.935,133.968,135.707
2024-05-01,99.99,133.276,135.782
2024-06-01,99.885,133.783,135.64
2024-07-01,100.073,132.968,135.895
2024-08-01,100.195,132.519,136.061
2024-09-01,100.425,132.7,136.373
2024-10-01,100.375,132.088,136.305
2024-11-01,100.168,131.38,136.024
2024-12-01,100.441,130.967,136.395
2025-01-01,100.477,136.444,136.444
2025-02-01,100.546,136.295,136.537
2025-03-01,100.379,135.647,136.31
2025-04-01,100.796,135.123,136.877
2025-05-01,100.757,134.298,136.824
2025-06-01,100.68,134.848,136.719
2025-07-01,100.704,133.806,136.752
2025-08-01,100.742,133.243,136.803
2025-09-01,101.099,133.591,137.288
2025-10-01,101.589,133.686,137.954
2025-11-01,101.357,132.939,137.639
